id,customer_id,machine_group_id,machine_type_id,machine_type_detail_id,machine_tariffplan_id,vendor,model,registration_number,registration_year,construction_year,start_service_year,factory_number,ce,notified_organism_id,carried_weight,max_liters,ps_bar,fluid,producibility,region,province,city,zipcode,address,first_audit_at,last_audit_at,next_audit_at,usage,customer_machine_code,attachment_id,note,state,next_audit_type_code,reg_numb_year,reg_numb_activity_code,reg_numb_code,reg_numb_province,subject_to_startups,panieri_riserva,on_number,is_ped_group,group_factory_number,group_reg_number,ped_category,fluid_type,is_ui_group,ped_reg_numb_year,ped_reg_numb_activity_code,ped_reg_numb_code,ped_reg_numb_province,gvr_category,temp_min,temp_max,fluid_state,address_n,,,,,,,,,,,,,,,,,,,,,,
8,27,NULL,3,14,72,0,0,0,0,0,0,330,--,NULL,NULL,25,0,0,0,9,39,1887,3013,S. Cecilia,2011-09-01,2013-09-19,2014-09-01,steel,330,NULL,,0,SUCC,,,,,0,0,,0,,,,1,0,,,,,IV,-170,120,GAS,,,,,,,,,,,,,,,,,,,,,,,
11,20,NULL,1,5,7,Merlo,P10.13,,1996,1996,1996,60201,SI,NULL,240,NULL,NULL,NULL,NULL,13,11,4979,10041,Via La Loggia 79,NULL,NULL,2014-10-02,Altro,,NULL,,0,SUCC,C,N,509,96,0,0,,0,,,,0,0,,,,,,NULL,NULL,,,,,,,,,,,,,,,,,,,,,,,,
12,186,NULL,2,8,24,OMIS FAC SRL,"C 50/5,64",,2000,2000,2004,11036,SI,NULL,500,NULL,NULL,NULL,NULL,17,66,7106,32030,Via Pradenich 38,2014-01-14,2014-01-14,2017-01-25,construction,,NULL,LAVORAZIONE MARMI,0,SUCC_ANNUALE,2004,2,146,BL,0,0,,0,,,,0,0,,,,,,NULL,NULL,,,,,,,,,,,,,,,,,,,,,,,,
13,186,NULL,2,8,24,OMIS FAC SRL,C 50/7,,2000,2000,2004,11037,SI,NULL,500,NULL,NULL,NULL,NULL,17,66,7106,32030,Via Pradenich 38,2014-01-14,2014-01-14,2017-01-25,construction,,NULL,LAVORAZIONE MARMI,0,SUCC_ANNUALE,2004,2,145,BL,0,0,,0,,,,0,0,2004,2,145,BL,,NULL,NULL,,,,,,,,,,,,,,,,,,,,,,,,
14,52,NULL,3,11,44,ICEM SpA,115429,,1979,1979,1979,9941,NO,NULL,NULL,3000,18,0,0,2,46,216,65010,C.da Ginestra snc,NULL,1997-09-17,2024-01-27,steel,3946,NULL,,1,FUN_BIEN,1979,0,27040,MC,1,0,100,0,,,,1,0,,,,,IV,NULL,NULL,GAS,,,,,,,,,,,,,,,,,,,,,,,
15,52,NULL,3,11,44,I.C.E.M. Spa,115429,,1981,1981,1981,35586,NO,NULL,NULL,3000,18,0,0,2,46,216,65010,C.da Ginestra snc,NULL,1997-09-17,2024-01-27,steel,3947,NULL,Attrezzatura priva del verbale di primo impianto.,1,FUN_BIEN,1981,0,37841,MC,1,0,100,0,,,,1,0,,,,,IV,NULL,NULL,GAS,,,,,,,,,,,,,,,,,,,,,,,
16,52,NULL,3,11,44,A.Merloni Spa,10,,1986,1986,1986,118002,NO,NULL,NULL,1750,18,0,0,2,46,216,65010,C.da Ginestra snc,NULL,1987-10-15,2024-01-27,steel,3948,NULL,Attrezzatura priva di verbale di primo impianto.,1,FUN_BIEN,1986,0,9002,MC,1,0,100,0,,,,1,0,,,,,IV,NULL,NULL,GAS,,,,,,,,,,,,,,,,,,,,,,,
17,52,NULL,3,11,44,A.Merloni Spa,10,,1986,1986,1986,118161,NO,NULL,NULL,3000,18,0,0,2,46,216,65010,C.da Ginestra snc,NULL,1997-09-17,2024-01-27,steel,3949,NULL,Attrezzatura priva del verbale di primo impianto.,1,FUN_BIEN,1986,0,9161,MC,1,0,100,0,,,,1,0,,,,,IV,NULL,NULL,GAS,,,,,,,,,,,,,,,,,,,,,,,
18,52,NULL,3,11,44,A.Merloni Spa,10,,1986,1986,1986,118175,NO,NULL,NULL,3000,18,0,0,2,46,216,65010,C.da Ginestra snc,NULL,1997-09-17,2024-01-27,steel,3950,NULL,Attrezzatura priva del verbale di primo impianto.,1,FUN_BIEN,1986,0,9175,MC,1,0,100,0,,,,1,0,,,,,IV,NULL,NULL,GAS,,,,,,,,,,,,,,,,,,,,,,,
19,52,NULL,3,11,44,A.Merloni Spa,10,,1987,1987,1987,146889,NO,NULL,NULL,1750,18,0,0,2,46,216,65010,C.da Ginestra snc,NULL,1987-10-15,2024-01-27,steel,3951,NULL,Attrezzatura priva del verbale di primo impianto.,1,FUN_BIEN,1987,0,13889,MC,1,0,100,0,,,,1,0,,,,,IV,NULL,NULL,GAS,,,,,,,,,,,,,,,,,,,,,,,
