"id","machine_id","holder_id","customer_id","supplier_id","engeener_id","audit_planned_start","audit_planned_end","audit_deadline_at","audit_started_at","audit_ended_at","report_file_signed_dt","report_file_signed","audit_location_address","audit_location_zipcode","audit_location_region","audit_location_province","audit_location_city","audit_location_company","audit_regime","audit_protocol","audit_protocol_date","type_audit_code","customer_user_id","supplier_inspection_user_id","notes","audit_request_file","holder_nomination_file","comunication_file","report_file","report_number","supplier_rate","holder_rate","invoice_date","invoice_number","invoice_amount","gross_margin_percentage","report_maintenance_status","report_principal_organs_status","report_behavior_in_test","report_configurations_in_test","report_is_available","report_is_not_available_causes","report_note_5","machine_type_id","machine_type_detail_id","machine_tariffplan_id","state","contract_id","manager_id","bu_id","previous_audit_id_suspended","previous_audit_id_rejected","previous_audit_id_break","price_first_audit","price_next_audit","report_note_1","report_note_2","report_note_3","report_note_4","invoiced","overcharge_startup","overcharge_integrity","purchase_order","edit_notes","audit_location_address_n"
1,1,0,27,"NULL","NULL","2015-09-01","2015-09-01","NULL","2015-09-01 09:29:52","2015-09-01 09:29:52","NULL","NULL","S. Cecilia",3013,9,39,1887,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL",-15,"NULL","NULL","NULL","NULL","NULL","NULL","NULL",0,0,0,0,10,279,1,0,0,0,0,0,,,,,1,282,215,,,
2,2,0,27,"NULL","NULL","2013-09-01","2013-09-01","NULL","2013-09-01 09:40:25","2013-09-01 09:40:25","NULL","NULL","S. Cecilia",3013,9,39,1887,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL",-15,"NULL","NULL","NULL","NULL","NULL","NULL","NULL",0,0,0,0,10,279,1,0,0,0,0,0,,,,,1,80,75,,,
3,3,0,27,"NULL","NULL","2014-09-01","2014-09-01","NULL","2014-09-01 09:47:19","2014-09-01 09:47:19","NULL","NULL","S. Cecilia",3013,9,39,1887,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL",-15,"NULL","NULL","NULL","NULL","NULL","NULL","NULL",0,0,0,0,10,279,1,0,0,0,0,0,,,,,1,80,75,,,
4,4,0,27,"NULL","NULL","2014-02-01","2014-02-01","NULL","2014-02-01 09:57:37","2014-02-01 09:57:37","NULL","NULL","S. Cecilia",3013,9,39,1887,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL",-15,"NULL","NULL","NULL","NULL","NULL","NULL","NULL",0,0,0,0,10,279,1,0,0,0,0,0,,,,,1,80,75,,,
5,5,0,27,"NULL","NULL","2014-09-01","2014-09-01","NULL","2014-09-01 10:02:36","2014-09-01 10:02:36","NULL","NULL","S. Cecilia",3013,9,39,1887,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL",-15,"NULL","NULL","NULL","NULL","NULL","NULL","NULL",0,0,0,0,10,279,1,0,0,0,0,0,,,,,1,80,75,,,
6,6,0,27,"NULL","NULL","2015-09-01","2015-09-01","NULL","2015-09-01 10:07:53","2015-09-01 10:07:53","NULL","NULL","S. Cecilia",3013,9,39,1887,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL",-15,"NULL","NULL","NULL","NULL","NULL","NULL","NULL",0,0,0,0,10,279,1,0,0,0,0,0,,,,,1,282,215,,,
7,7,0,27,"NULL","NULL","2015-09-01","2015-09-01","NULL","2015-09-01 10:14:37","2015-09-01 10:14:37","NULL","NULL","S. Cecilia",3013,9,39,1887,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL",-15,"NULL","NULL","NULL","NULL","NULL","NULL","NULL",0,0,0,0,10,279,1,0,0,0,0,0,,,,,1,282,215,,,
8,8,0,27,"NULL","NULL","2014-09-01","2014-09-01","NULL","2014-09-01 10:41:28","2014-09-01 10:41:28","NULL","NULL","S. Cecilia",3013,9,39,1887,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL",-15,"NULL","NULL","NULL","NULL","NULL","NULL","NULL",0,0,0,0,10,279,1,0,0,0,0,0,,,,,1,80,75,,,
9,9,0,27,"NULL","NULL","2014-09-01","2014-09-01","NULL","2014-09-01 10:45:40","2014-09-01 10:45:40","NULL","NULL","S. Cecilia",3013,9,39,1887,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL",-15,"NULL","NULL","NULL","NULL","NULL","NULL","NULL",0,0,0,0,10,279,1,0,0,0,0,0,,,,,1,80,75,,,
10,10,0,29,"NULL","NULL","2016-10-16","2016-10-16","NULL","2016-10-16 16:23:43","2016-10-16 16:23:43","NULL","NULL","Parco Eolico Montegrighine",9080,10,80,5903,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL",-10,"NULL","NULL","NULL","NULL","NULL","NULL","NULL",0,0,0,1,35,224,1,0,0,0,0,0,,,,,0,0,0,,,
