id,tariffrate_id,machine_specific_detail_id,first_audit_price,first_audit_price_without_startup,next_audit_price,next_audit_integrity_overcharge
33,1,1,332.00,0.00,247.00,0.00
34,1,2,332.00,0.00,247.00,0.00
35,1,3,257.00,0.00,152.00,0.00
36,1,4,307.00,0.00,215.00,0.00
37,1,5,332.00,0.00,247.00,0.00
38,1,6,307.00,0.00,215.00,0.00
39,1,7,332.00,0.00,247.00,0.00
40,1,8,307.00,0.00,215.00,0.00
41,1,9,256.00,0.00,152.00,0.00
42,1,10,328.00,0.00,208.00,0.00
43,1,11,437.00,0.00,311.00,0.00
44,1,12,282.00,0.00,184.00,0.00
45,1,13,366.00,0.00,255.00,0.00
46,1,14,391.00,0.00,287.00,0.00
47,1,15,475.00,0.00,358.00,0.00
48,1,16,282.00,0.00,184.00,0.00
49,1,17,307.00,0.00,215.00,0.00
50,1,18,332.00,0.00,247.00,0.00
51,1,19,223.00,0.00,175.00,0.00
52,1,20,249.00,0.00,207.00,0.00
53,1,21,274.00,0.00,239.00,0.00
54,1,22,134.00,0.00,142.00,0.00
55,1,23,206.00,0.00,120.00,0.00
56,1,24,257.00,0.00,152.00,0.00
57,1,25,282.00,0.00,184.00,0.00
58,1,26,282.00,0.00,184.00,0.00
59,1,27,307.00,0.00,215.00,0.00
60,1,28,332.00,0.00,247.00,0.00
61,1,29,332.00,0.00,247.00,0.00
62,1,30,383.00,0.00,310.00,0.00
63,1,31,358.00,0.00,278.00,0.00
64,1,32,358.00,0.00,278.00,0.00
65,1,33,257.00,0.00,152.00,0.00
66,1,34,408.00,0.00,342.00,0.00
67,1,35,307.00,0.00,215.00,0.00
68,1,36,358.00,0.00,278.00,0.00
69,1,37,307.00,0.00,215.00,0.00
70,1,38,358.00,0.00,278.00,0.00
71,1,39,408.00,0.00,342.00,0.00
72,1,40,408.00,0.00,342.00,0.00
73,1,41,206.00,220.00,120.00,120.00
74,1,42,206.00,220.00,120.00,152.00
75,1,43,231.00,240.00,152.00,184.00
76,1,44,246.00,282.00,152.00,215.00
77,1,45,294.00,382.00,152.00,247.00
78,1,46,320.00,446.00,152.00,278.00
79,1,47,383.00,725.00,184.00,310.00
80,1,48,395.00,1099.00,184.00,342.00
81,1,49,408.00,1619.00,184.00,373.00
82,1,50,433.00,2306.00,215.00,405.00
83,1,51,497.00,2712.00,215.00,468.00
84,1,52,560.00,3166.00,215.00,531.00
85,1,53,231.00,242.00,168.00,247.00
86,1,54,282.00,282.00,184.00,278.00
87,1,55,292.00,324.00,199.00,310.00
88,1,56,312.00,324.00,215.00,278.00
89,1,57,322.00,382.00,215.00,278.00
90,1,58,332.00,450.00,247.00,326.00
91,1,59,342.00,554.00,247.00,326.00
92,1,60,352.00,678.00,247.00,326.00
93,1,61,363.00,846.00,278.00,373.00
94,1,62,373.00,1061.00,278.00,373.00
95,1,63,383.00,1330.00,278.00,373.00
96,1,64,398.00,1668.00,278.00,373.00
97,1,65,408.00,2076.00,310.00,421.00
98,1,66,423.00,2580.00,310.00,421.00
99,1,67,449.00,3175.00,310.00,421.00
100,1,68,474.00,3885.00,310.00,421.00
101,1,69,509.00,4722.00,342.00,468.00
102,1,70,560.00,5710.00,342.00,468.00
103,1,71,611.00,5710.00,342.00,468.00
104,1,72,80.00,80.00,55.00,75.00
105,1,73,437.00,0.00,311.00,0.00
106,1,74,358.00,358.00,278.00,278.00
107,2,1,334.99,0.00,249.22,0.00
108,2,2,334.99,0.00,249.22,0.00
109,2,3,259.31,0.00,153.37,0.00
110,2,4,309.76,0.00,216.94,0.00
111,2,5,334.99,0.00,249.22,0.00
112,2,6,309.76,0.00,216.94,0.00
113,2,7,334.99,0.00,249.22,0.00
114,2,8,309.76,0.00,216.94,0.00
115,2,9,258.30,0.00,153.37,0.00
116,2,10,330.95,0.00,209.87,0.00
117,2,11,369.29,0.00,257.30,0.00
118,2,12,284.54,0.00,185.66,0.00
119,2,13,369.29,0.00,257.30,0.00
120,2,14,394.52,0.00,289.58,0.00
121,2,15,479.28,0.00,361.22,0.00
122,2,16,284.54,0.00,185.66,0.00
123,2,17,309.76,0.00,216.94,0.00
124,2,18,334.99,0.00,249.22,0.00
125,2,19,225.01,0.00,176.58,0.00
126,2,20,251.24,0.00,208.86,0.00
127,2,21,276.47,0.00,241.15,0.00
128,2,22,135.21,0.00,143.28,0.00
129,2,23,207.85,0.00,121.08,0.00
130,2,24,259.31,0.00,153.37,0.00
131,2,25,284.54,0.00,185.66,0.00
132,2,26,284.54,0.00,185.66,0.00
133,2,27,309.76,0.00,216.94,0.00
134,2,28,334.99,0.00,249.22,0.00
135,2,29,334.99,0.00,249.22,0.00
136,2,30,386.45,0.00,312.79,0.00
137,2,31,361.22,0.00,280.50,0.00
138,2,32,361.22,0.00,280.50,0.00
139,2,33,259.31,0.00,153.37,0.00
140,2,34,411.67,0.00,345.08,0.00
141,2,35,309.76,0.00,216.94,0.00
142,2,36,361.22,0.00,280.50,0.00
143,2,37,309.76,0.00,216.94,0.00
144,2,38,361.22,0.00,280.50,0.00
145,2,39,411.67,0.00,345.08,0.00
146,2,40,411.67,0.00,345.08,0.00
147,2,41,207.85,221.98,121.08,121.08
148,2,42,207.85,221.98,121.08,153.37
149,2,43,233.08,242.16,153.37,185.66
150,2,44,248.21,284.54,153.37,216.94
151,2,45,296.65,385.44,153.37,249.22
152,2,46,322.88,450.01,153.37,280.50
153,2,47,386.45,731.53,185.66,312.79
154,2,48,398.56,1108.89,185.66,345.08
155,2,49,411.67,1633.57,185.66,376.36
156,2,50,436.90,2326.75,216.94,408.65
157,2,51,501.47,2736.41,216.94,472.21
158,2,52,565.04,3194.49,216.94,535.78
159,2,53,233.08,244.18,169.51,249.22
160,2,54,284.54,284.54,185.66,280.50
161,2,55,294.63,326.92,200.79,312.79
162,2,56,314.81,326.92,216.94,280.50
163,2,57,324.90,385.44,216.94,280.50
164,2,58,334.99,454.05,249.22,328.93
165,2,59,345.08,558.99,249.22,328.93
166,2,60,355.17,684.10,249.22,328.93
167,2,61,366.27,853.61,280.50,376.36
168,2,62,376.36,1070.55,280.50,376.36
169,2,63,386.45,1341.97,280.50,376.36
170,2,64,401.58,1683.01,280.50,376.36
171,2,65,411.67,2094.68,312.79,424.79
172,2,66,426.81,2603.22,312.79,424.79
173,2,67,453.04,3203.58,312.79,424.79
174,2,68,478.27,3919.97,312.79,424.79
175,2,69,513.58,4764.50,345.08,472.21
176,2,70,565.04,5761.39,345.08,472.21
177,2,71,616.50,5761.39,345.08,472.21
178,2,72,80.72,80.72,55.50,75.68
179,2,73,440.93,0.00,313.80,0.00
180,2,74,361.22,361.22,280.50,280.50
181,3,1,334.66,0.00,248.97,0.00
182,3,2,334.66,0.00,248.97,0.00
183,3,3,259.05,0.00,153.22,0.00
184,3,4,309.45,0.00,216.72,0.00
185,3,5,334.66,0.00,248.97,0.00
186,3,6,309.45,0.00,216.72,0.00
187,3,7,334.66,0.00,248.97,0.00
188,3,8,309.45,0.00,216.72,0.00
189,3,9,258.30,0.00,153.37,0.00
190,3,10,330.95,0.00,209.87,0.00
191,3,11,369.29,0.00,257.30,0.00
192,3,12,284.54,0.00,185.66,0.00
193,3,13,369.29,0.00,257.30,0.00
194,3,14,394.52,0.00,289.58,0.00
195,3,15,479.28,0.00,361.22,0.00
196,3,16,284.54,0.00,185.66,0.00
197,3,17,309.76,0.00,216.94,0.00
198,3,18,334.99,0.00,249.22,0.00
199,3,19,225.01,0.00,176.58,0.00
200,3,20,251.24,0.00,208.86,0.00
201,3,21,276.47,0.00,241.15,0.00
202,3,22,135.21,0.00,143.28,0.00
203,3,23,207.85,0.00,121.08,0.00
204,3,24,259.31,0.00,153.37,0.00
205,3,25,284.54,0.00,185.66,0.00
206,3,26,284.54,0.00,185.66,0.00
207,3,27,309.76,0.00,216.94,0.00
208,3,28,334.99,0.00,249.22,0.00
209,3,29,334.99,0.00,249.22,0.00
210,3,30,386.45,0.00,312.79,0.00
211,3,31,361.22,0.00,280.50,0.00
212,3,32,361.22,0.00,280.50,0.00
213,3,33,259.31,0.00,153.37,0.00
214,3,34,411.67,0.00,345.08,0.00
215,3,35,309.76,0.00,216.94,0.00
216,3,36,361.22,0.00,280.50,0.00
217,3,37,309.76,0.00,216.94,0.00
218,3,38,361.22,0.00,280.50,0.00
219,3,39,411.67,0.00,345.08,0.00
220,3,40,411.67,0.00,345.08,0.00
221,3,41,207.85,221.98,121.08,121.08
222,3,42,207.85,221.98,121.08,153.37
223,3,43,233.08,242.16,153.37,185.66
224,3,44,248.21,284.54,153.37,216.94
225,3,45,296.65,385.44,153.37,249.22
226,3,46,322.88,450.01,153.37,280.50
227,3,47,386.45,731.53,185.66,312.79
228,3,48,398.56,1108.89,185.66,345.08
229,3,49,411.67,1633.57,185.66,376.36
230,3,50,436.90,2326.75,216.94,408.65
231,3,51,501.47,2736.41,216.94,472.21
232,3,52,565.04,3194.49,216.94,535.78
233,3,53,233.08,244.18,169.51,249.22
234,3,54,284.54,284.54,185.66,280.50
235,3,55,294.63,326.92,200.79,312.79
236,3,56,314.81,326.92,216.94,280.50
